dropped_region,theme,region_A,region_B,full_diff,loo_diff,same_sign
NA,T1_integration,EU,EA,0.11965811965811957,0.11965811965811957,1
NA,T1_integration,EU,LA,0.11965811965811957,0.11965811965811957,1
NA,T1_integration,EA,LA,0.0,0.0,1
NA,T2_multimodal,EU,EA,-0.02564102564102566,-0.02564102564102566,1
NA,T2_multimodal,EU,LA,0.20512820512820507,0.20512820512820507,1
NA,T2_multimodal,EA,LA,0.23076923076923073,0.23076923076923073,1
NA,T3_privacy,EU,EA,-0.02564102564102566,-0.02564102564102566,1
NA,T3_privacy,EU,LA,0.282051282051282,0.282051282051282,1
NA,T3_privacy,EA,LA,0.30769230769230765,0.30769230769230765,1
NA,T4_integrity,EU,EA,0.20512820512820507,0.20512820512820507,1
NA,T4_integrity,EU,LA,-0.2564102564102565,-0.2564102564102565,1
NA,T4_integrity,EA,LA,-0.46153846153846156,-0.46153846153846156,1
NA,T5_disclosure,EU,EA,0.22649572649572652,0.22649572649572652,1
NA,T5_disclosure,EU,LA,0.1495726495726496,0.1495726495726496,1
NA,T5_disclosure,EA,LA,-0.07692307692307693,-0.07692307692307693,1
NA,T6_equity,EU,EA,0.04700854700854701,0.04700854700854701,1
NA,T6_equity,EU,LA,-0.10683760683760685,-0.10683760683760685,1
NA,T6_equity,EA,LA,-0.15384615384615385,-0.15384615384615385,1
NA,T7_vendor_governance,EU,EA,0.3589743589743589,0.3589743589743589,1
NA,T7_vendor_governance,EU,LA,0.5128205128205128,0.5128205128205128,1
NA,T7_vendor_governance,EA,LA,0.15384615384615385,0.15384615384615385,1
NA,T8_pedagogical_redesign,EU,EA,-0.2820512820512821,-0.2820512820512821,1
NA,T8_pedagogical_redesign,EU,LA,-0.05128205128205132,-0.05128205128205132,1
NA,T8_pedagogical_redesign,EA,LA,0.23076923076923078,0.23076923076923078,1
EU,T1_integration,NA,EA,0.18076923076923068,0.18076923076923068,1
EU,T1_integration,NA,LA,0.18076923076923068,0.18076923076923068,1
EU,T1_integration,EA,LA,0.0,0.0,1
EU,T2_multimodal,NA,EA,0.05769230769230771,0.05769230769230771,1
EU,T2_multimodal,NA,LA,0.28846153846153844,0.28846153846153844,1
EU,T2_multimodal,EA,LA,0.23076923076923073,0.23076923076923073,1
EU,T3_privacy,NA,EA,0.1576923076923077,0.1576923076923077,1
EU,T3_privacy,NA,LA,0.46538461538461534,0.46538461538461534,1
EU,T3_privacy,EA,LA,0.30769230769230765,0.30769230769230765,1
EU,T4_integrity,NA,EA,0.3884615384615384,0.3884615384615384,1
EU,T4_integrity,NA,LA,-0.07307692307692315,-0.07307692307692315,1
EU,T4_integrity,EA,LA,-0.46153846153846156,-0.46153846153846156,1
EU,T5_disclosure,NA,EA,0.5153846153846153,0.5153846153846153,1
EU,T5_disclosure,NA,LA,0.43846153846153846,0.43846153846153846,1
EU,T5_disclosure,EA,LA,-0.07692307692307693,-0.07692307692307693,1
EU,T6_equity,NA,EA,0.31923076923076926,0.31923076923076926,1
EU,T6_equity,NA,LA,0.1653846153846154,0.1653846153846154,1
EU,T6_equity,EA,LA,-0.15384615384615385,-0.15384615384615385,1
EU,T7_vendor_governance,NA,EA,0.49230769230769234,0.49230769230769234,1
EU,T7_vendor_governance,NA,LA,0.6461538461538462,0.6461538461538462,1
EU,T7_vendor_governance,EA,LA,0.15384615384615385,0.15384615384615385,1
EU,T8_pedagogical_redesign,NA,EA,0.08461538461538454,0.08461538461538454,1
EU,T8_pedagogical_redesign,NA,LA,0.3153846153846153,0.3153846153846153,1
EU,T8_pedagogical_redesign,EA,LA,0.23076923076923078,0.23076923076923078,1
EA,T1_integration,NA,EU,0.061111111111111116,0.061111111111111116,1
EA,T1_integration,NA,LA,0.18076923076923068,0.18076923076923068,1
EA,T1_integration,EU,LA,0.11965811965811957,0.11965811965811957,1
EA,T2_multimodal,NA,EU,0.08333333333333337,0.08333333333333337,1
EA,T2_multimodal,NA,LA,0.28846153846153844,0.28846153846153844,1
EA,T2_multimodal,EU,LA,0.20512820512820507,0.20512820512820507,1
EA,T3_privacy,NA,EU,0.18333333333333335,0.18333333333333335,1
EA,T3_privacy,NA,LA,0.46538461538461534,0.46538461538461534,1
EA,T3_privacy,EU,LA,0.282051282051282,0.282051282051282,1
EA,T4_integrity,NA,EU,0.18333333333333335,0.18333333333333335,1
EA,T4_integrity,NA,LA,-0.07307692307692315,-0.07307692307692315,1
EA,T4_integrity,EU,LA,-0.2564102564102565,-0.2564102564102565,1
EA,T5_disclosure,NA,EU,0.28888888888888886,0.28888888888888886,1
EA,T5_disclosure,NA,LA,0.43846153846153846,0.43846153846153846,1
EA,T5_disclosure,EU,LA,0.1495726495726496,0.1495726495726496,1
EA,T6_equity,NA,EU,0.27222222222222225,0.27222222222222225,1
EA,T6_equity,NA,LA,0.1653846153846154,0.1653846153846154,1
EA,T6_equity,EU,LA,-0.10683760683760685,-0.10683760683760685,1
EA,T7_vendor_governance,NA,EU,0.13333333333333341,0.13333333333333341,1
EA,T7_vendor_governance,NA,LA,0.6461538461538462,0.6461538461538462,1
EA,T7_vendor_governance,EU,LA,0.5128205128205128,0.5128205128205128,1
EA,T8_pedagogical_redesign,NA,EU,0.36666666666666664,0.36666666666666664,1
EA,T8_pedagogical_redesign,NA,LA,0.3153846153846153,0.3153846153846153,1
EA,T8_pedagogical_redesign,EU,LA,-0.05128205128205132,-0.05128205128205132,1
LA,T1_integration,NA,EU,0.061111111111111116,0.061111111111111116,1
LA,T1_integration,NA,EA,0.18076923076923068,0.18076923076923068,1
LA,T1_integration,EU,EA,0.11965811965811957,0.11965811965811957,1
LA,T2_multimodal,NA,EU,0.08333333333333337,0.08333333333333337,1
LA,T2_multimodal,NA,EA,0.05769230769230771,0.05769230769230771,1
LA,T2_multimodal,EU,EA,-0.02564102564102566,-0.02564102564102566,1
LA,T3_privacy,NA,EU,0.18333333333333335,0.18333333333333335,1
LA,T3_privacy,NA,EA,0.1576923076923077,0.1576923076923077,1
LA,T3_privacy,EU,EA,-0.02564102564102566,-0.02564102564102566,1
LA,T4_integrity,NA,EU,0.18333333333333335,0.18333333333333335,1
LA,T4_integrity,NA,EA,0.3884615384615384,0.3884615384615384,1
LA,T4_integrity,EU,EA,0.20512820512820507,0.20512820512820507,1
LA,T5_disclosure,NA,EU,0.28888888888888886,0.28888888888888886,1
LA,T5_disclosure,NA,EA,0.5153846153846153,0.5153846153846153,1
LA,T5_disclosure,EU,EA,0.22649572649572652,0.22649572649572652,1
LA,T6_equity,NA,EU,0.27222222222222225,0.27222222222222225,1
LA,T6_equity,NA,EA,0.31923076923076926,0.31923076923076926,1
LA,T6_equity,EU,EA,0.04700854700854701,0.04700854700854701,1
LA,T7_vendor_governance,NA,EU,0.13333333333333341,0.13333333333333341,1
LA,T7_vendor_governance,NA,EA,0.49230769230769234,0.49230769230769234,1
LA,T7_vendor_governance,EU,EA,0.3589743589743589,0.3589743589743589,1
LA,T8_pedagogical_redesign,NA,EU,0.36666666666666664,0.36666666666666664,1
LA,T8_pedagogical_redesign,NA,EA,0.08461538461538454,0.08461538461538454,1
LA,T8_pedagogical_redesign,EU,EA,-0.2820512820512821,-0.2820512820512821,1
