condition,region,theme,prevalence
baseline_16fs,NA,T1_integration,0.45
baseline_16fs,NA,T2_multimodal,0.2
baseline_16fs,NA,T3_privacy,0.35
baseline_16fs,NA,T4_integrity,0.3
baseline_16fs,NA,T5_disclosure,0.1
baseline_16fs,NA,T6_equity,0.15
baseline_16fs,NA,T7_vendor_governance,0.35
baseline_16fs,NA,T8_pedagogical_redesign,0.15
baseline_16fs,EU,T1_integration,0.5
baseline_16fs,EU,T2_multimodal,0.25
baseline_16fs,EU,T3_privacy,0.4
baseline_16fs,EU,T4_integrity,0.4
baseline_16fs,EU,T5_disclosure,0.5
baseline_16fs,EU,T6_equity,0.2
baseline_16fs,EU,T7_vendor_governance,0.45
baseline_16fs,EU,T8_pedagogical_redesign,0.05
baseline_16fs,EA,T1_integration,0.6
baseline_16fs,EA,T2_multimodal,0.25
baseline_16fs,EA,T3_privacy,0.35
baseline_16fs,EA,T4_integrity,0.3
baseline_16fs,EA,T5_disclosure,0.15
baseline_16fs,EA,T6_equity,0.1
baseline_16fs,EA,T7_vendor_governance,0.1
baseline_16fs,EA,T8_pedagogical_redesign,0.3
baseline_16fs,LA,T1_integration,0.5
baseline_16fs,LA,T2_multimodal,0.15
baseline_16fs,LA,T3_privacy,0.4
baseline_16fs,LA,T4_integrity,0.4
baseline_16fs,LA,T5_disclosure,0.2
baseline_16fs,LA,T6_equity,0.3
baseline_16fs,LA,T7_vendor_governance,0.0
baseline_16fs,LA,T8_pedagogical_redesign,0.15
fewshot_0,NA,T1_integration,0.5
fewshot_0,NA,T2_multimodal,0.2
fewshot_0,NA,T3_privacy,0.35
fewshot_0,NA,T4_integrity,0.3
fewshot_0,NA,T5_disclosure,0.1
fewshot_0,NA,T6_equity,0.15
fewshot_0,NA,T7_vendor_governance,0.35
fewshot_0,NA,T8_pedagogical_redesign,0.15
fewshot_0,EU,T1_integration,0.6
fewshot_0,EU,T2_multimodal,0.25
fewshot_0,EU,T3_privacy,0.4
fewshot_0,EU,T4_integrity,0.5
fewshot_0,EU,T5_disclosure,0.6
fewshot_0,EU,T6_equity,0.2
fewshot_0,EU,T7_vendor_governance,0.45
fewshot_0,EU,T8_pedagogical_redesign,0.05
fewshot_0,EA,T1_integration,0.7
fewshot_0,EA,T2_multimodal,0.25
fewshot_0,EA,T3_privacy,0.35
fewshot_0,EA,T4_integrity,0.3
fewshot_0,EA,T5_disclosure,0.25
fewshot_0,EA,T6_equity,0.1
fewshot_0,EA,T7_vendor_governance,0.1
fewshot_0,EA,T8_pedagogical_redesign,0.35
fewshot_0,LA,T1_integration,0.6
fewshot_0,LA,T2_multimodal,0.15
fewshot_0,LA,T3_privacy,0.4
fewshot_0,LA,T4_integrity,0.45
fewshot_0,LA,T5_disclosure,0.3
fewshot_0,LA,T6_equity,0.3
fewshot_0,LA,T7_vendor_governance,0.0
fewshot_0,LA,T8_pedagogical_redesign,0.15
fewshot_4,NA,T1_integration,0.5
fewshot_4,NA,T2_multimodal,0.2
fewshot_4,NA,T3_privacy,0.35
fewshot_4,NA,T4_integrity,0.3
fewshot_4,NA,T5_disclosure,0.1
fewshot_4,NA,T6_equity,0.15
fewshot_4,NA,T7_vendor_governance,0.3
fewshot_4,NA,T8_pedagogical_redesign,0.15
fewshot_4,EU,T1_integration,0.55
fewshot_4,EU,T2_multimodal,0.35
fewshot_4,EU,T3_privacy,0.4
fewshot_4,EU,T4_integrity,0.45
fewshot_4,EU,T5_disclosure,0.55
fewshot_4,EU,T6_equity,0.2
fewshot_4,EU,T7_vendor_governance,0.45
fewshot_4,EU,T8_pedagogical_redesign,0.05
fewshot_4,EA,T1_integration,0.6
fewshot_4,EA,T2_multimodal,0.25
fewshot_4,EA,T3_privacy,0.35
fewshot_4,EA,T4_integrity,0.3
fewshot_4,EA,T5_disclosure,0.15
fewshot_4,EA,T6_equity,0.1
fewshot_4,EA,T7_vendor_governance,0.1
fewshot_4,EA,T8_pedagogical_redesign,0.35
fewshot_4,LA,T1_integration,0.5
fewshot_4,LA,T2_multimodal,0.15
fewshot_4,LA,T3_privacy,0.4
fewshot_4,LA,T4_integrity,0.4
fewshot_4,LA,T5_disclosure,0.2
fewshot_4,LA,T6_equity,0.3
fewshot_4,LA,T7_vendor_governance,0.0
fewshot_4,LA,T8_pedagogical_redesign,0.1
fewshot_8,NA,T1_integration,0.5
fewshot_8,NA,T2_multimodal,0.2
fewshot_8,NA,T3_privacy,0.35
fewshot_8,NA,T4_integrity,0.3
fewshot_8,NA,T5_disclosure,0.1
fewshot_8,NA,T6_equity,0.15
fewshot_8,NA,T7_vendor_governance,0.35
fewshot_8,NA,T8_pedagogical_redesign,0.15
fewshot_8,EU,T1_integration,0.6
fewshot_8,EU,T2_multimodal,0.25
fewshot_8,EU,T3_privacy,0.4
fewshot_8,EU,T4_integrity,0.45
fewshot_8,EU,T5_disclosure,0.5
fewshot_8,EU,T6_equity,0.2
fewshot_8,EU,T7_vendor_governance,0.45
fewshot_8,EU,T8_pedagogical_redesign,0.05
fewshot_8,EA,T1_integration,0.65
fewshot_8,EA,T2_multimodal,0.25
fewshot_8,EA,T3_privacy,0.35
fewshot_8,EA,T4_integrity,0.3
fewshot_8,EA,T5_disclosure,0.15
fewshot_8,EA,T6_equity,0.1
fewshot_8,EA,T7_vendor_governance,0.1
fewshot_8,EA,T8_pedagogical_redesign,0.35
fewshot_8,LA,T1_integration,0.5
fewshot_8,LA,T2_multimodal,0.15
fewshot_8,LA,T3_privacy,0.4
fewshot_8,LA,T4_integrity,0.4
fewshot_8,LA,T5_disclosure,0.2
fewshot_8,LA,T6_equity,0.3
fewshot_8,LA,T7_vendor_governance,0.0
fewshot_8,LA,T8_pedagogical_redesign,0.15
seed_22,NA,T1_integration,0.45
seed_22,NA,T2_multimodal,0.2
seed_22,NA,T3_privacy,0.35
seed_22,NA,T4_integrity,0.3
seed_22,NA,T5_disclosure,0.1
seed_22,NA,T6_equity,0.15
seed_22,NA,T7_vendor_governance,0.35
seed_22,NA,T8_pedagogical_redesign,0.15
seed_22,EU,T1_integration,0.5
seed_22,EU,T2_multimodal,0.25
seed_22,EU,T3_privacy,0.4
seed_22,EU,T4_integrity,0.4
seed_22,EU,T5_disclosure,0.5
seed_22,EU,T6_equity,0.2
seed_22,EU,T7_vendor_governance,0.45
seed_22,EU,T8_pedagogical_redesign,0.05
seed_22,EA,T1_integration,0.6
seed_22,EA,T2_multimodal,0.25
seed_22,EA,T3_privacy,0.35
seed_22,EA,T4_integrity,0.3
seed_22,EA,T5_disclosure,0.15
seed_22,EA,T6_equity,0.1
seed_22,EA,T7_vendor_governance,0.1
seed_22,EA,T8_pedagogical_redesign,0.3
seed_22,LA,T1_integration,0.5
seed_22,LA,T2_multimodal,0.15
seed_22,LA,T3_privacy,0.4
seed_22,LA,T4_integrity,0.4
seed_22,LA,T5_disclosure,0.2
seed_22,LA,T6_equity,0.3
seed_22,LA,T7_vendor_governance,0.0
seed_22,LA,T8_pedagogical_redesign,0.15
seed_42,NA,T1_integration,0.45
seed_42,NA,T2_multimodal,0.2
seed_42,NA,T3_privacy,0.35
seed_42,NA,T4_integrity,0.3
seed_42,NA,T5_disclosure,0.1
seed_42,NA,T6_equity,0.15
seed_42,NA,T7_vendor_governance,0.4
seed_42,NA,T8_pedagogical_redesign,0.1
seed_42,EU,T1_integration,0.5
seed_42,EU,T2_multimodal,0.25
seed_42,EU,T3_privacy,0.4
seed_42,EU,T4_integrity,0.4
seed_42,EU,T5_disclosure,0.5
seed_42,EU,T6_equity,0.2
seed_42,EU,T7_vendor_governance,0.45
seed_42,EU,T8_pedagogical_redesign,0.05
seed_42,EA,T1_integration,0.6
seed_42,EA,T2_multimodal,0.25
seed_42,EA,T3_privacy,0.35
seed_42,EA,T4_integrity,0.3
seed_42,EA,T5_disclosure,0.15
seed_42,EA,T6_equity,0.1
seed_42,EA,T7_vendor_governance,0.1
seed_42,EA,T8_pedagogical_redesign,0.3
seed_42,LA,T1_integration,0.5
seed_42,LA,T2_multimodal,0.15
seed_42,LA,T3_privacy,0.4
seed_42,LA,T4_integrity,0.4
seed_42,LA,T5_disclosure,0.2
seed_42,LA,T6_equity,0.3
seed_42,LA,T7_vendor_governance,0.0
seed_42,LA,T8_pedagogical_redesign,0.15
temp_0.3,NA,T1_integration,0.5
temp_0.3,NA,T2_multimodal,0.25
temp_0.3,NA,T3_privacy,0.35
temp_0.3,NA,T4_integrity,0.3
temp_0.3,NA,T5_disclosure,0.1
temp_0.3,NA,T6_equity,0.15
temp_0.3,NA,T7_vendor_governance,0.35
temp_0.3,NA,T8_pedagogical_redesign,0.15
temp_0.3,EU,T1_integration,0.6
temp_0.3,EU,T2_multimodal,0.35
temp_0.3,EU,T3_privacy,0.4
temp_0.3,EU,T4_integrity,0.35
temp_0.3,EU,T5_disclosure,0.5
temp_0.3,EU,T6_equity,0.2
temp_0.3,EU,T7_vendor_governance,0.4
temp_0.3,EU,T8_pedagogical_redesign,0.1
temp_0.3,EA,T1_integration,0.6
temp_0.3,EA,T2_multimodal,0.25
temp_0.3,EA,T3_privacy,0.35
temp_0.3,EA,T4_integrity,0.3
temp_0.3,EA,T5_disclosure,0.15
temp_0.3,EA,T6_equity,0.1
temp_0.3,EA,T7_vendor_governance,0.1
temp_0.3,EA,T8_pedagogical_redesign,0.3
temp_0.3,LA,T1_integration,0.5
temp_0.3,LA,T2_multimodal,0.15
temp_0.3,LA,T3_privacy,0.3
temp_0.3,LA,T4_integrity,0.35
temp_0.3,LA,T5_disclosure,0.2
temp_0.3,LA,T6_equity,0.3
temp_0.3,LA,T7_vendor_governance,0.0
temp_0.3,LA,T8_pedagogical_redesign,0.15
